Tahun;Bulan;Non Migas;normalisasi;;denormalisasi
2008;Januari;8947.7;-0.573719331994398;;-54.078.118
2008;Februari;8164.4;-0.636178154761608;;-66.518.852
2008;Maret;9241.7;-0.550276342215821;;-4.926.235
2008;April;8440.5;-0.614162476265468;;-62.104.398
2008;Mei;9684.8;-0.514944407620965;;-42.239.355
2008;Juni;9823.5;-0.503884738633589;;-40.032.128
2008;Juli;9645.3;-0.518094061009583;;-42.841.326
2008;Agustus;9510.5;-0.528842751561122;;-45.048.553
2008;September;9821.7;-0.504028267142437;;-40.032.128
2008;Oktober;8904.4;-0.577171990012808;;-54.680.089
2008;November;8220.2;-0.631728770987307;;-65.716.224
2008;Desember;7489.5;-0.689993371773723;;-7.735.433
2009;Januari;6254.6;-0.788461902649795;;-97.018.716
2009;Februari;6109.9;-0.8;;-9942.66
2009;Maret;7333.1;-0.702464404431443;;-79.762.214
2009;April;7200;-0.71307754028018;;-81.969.441
2009;Mei;8072.1;-0.643537977743114;;-68.124.108
2009;Juni;7929.4;-0.654916598972376;;-70.331.335
2009;Juli;8195.2;-0.63372222249909;;-66.117.538
2009;Agustus;8890.1;-0.578312244277548;;-54.880.746
2009;September;8092.9;-0.64187942608531;;-67.722.794
2009;Oktober;10131.2;-0.479349337426554;;-35.015.703
2009;November;8438;-0.614361821416646;;-62.104.398
2009;Desember;10845.2;-0.422416362250009;;-23.578.254
2010;Januari;9251;-0.549534778253437;;-4.926.235
2010;Februari;8991.2;-0.570250726363895;;-5.327.549
2010;Maret;10605.8;-0.44150565392685;;-27.591.394
2010;April;9830.6;-0.503318598404242;;-39.831.471
2010;Mei;10249.9;-0.469884429648604;;-3.320.979
2010;Juni;10428.6;-0.455635238242374;;-30.400.592
2010;Juli;10605.5;-0.441529575344992;;-27.591.394
2010;Agustus;11733;-0.351624912163543;;-953.226.399.999.999
2010;September;10098.7;-0.481940824391873;;-35.617.674
2010;Oktober;11557.8;-0.365595020358124;;-12.341.462
2010;November;12816.9;-0.265196828418645;;792.489.500.000.001
2010;Desember;13570.6;-0.205098252241387;;19.964.315
2011;Januari;11991.2;-0.33103654494984;;-5.318.467
2011;Februari;11802.8;-0.346059195542642;;-832.832.199.999.999
2011;Maret;13304.1;-0.226348445357002;;15.750.518
2011;April;12925.9;-0.256505379827267;;953.015.100.000.001
2011;Mei;14214.6;-0.153746941297836;;30.197.822
2011;Juni;14795.9;-0.10739520674584;;39.628.701
2011;Juli;13616;-0.201478144295988;;20.766.943
2011;Agustus;14556.2;-0.126508419840823;;35.615.561
2011;September;13612.4;-0.201765201313684;;20.566.286
2011;Oktober;13895.1;-0.179223251618433;;25.181.397
2011;November;13712.7;-0.193767473848408;;22.171.542
2011;Desember;13592.7;-0.20333604110497;;20.365.629
2012;Januari;12425.4;-0.296414279093179;;170.452.800.000.001
2012;Februari;12340;-0.303223909457432;;299.929.000.000.011
2012;Maret;13765.4;-0.189565278061568;;2.297.417
2012;April;12612.5;-0.281495287978989;;4.714.383
2012;Mei;13104.7;-0.24224821461499;;12.540.006
2012;Juni;12541.8;-0.287132768854314;;351.044.100.000.001
2012;Juli;13165.4;-0.237408114344379;;13.543.291
2012;Agustus;11264;-0.389022062524607;;-16.956.573
2012;September;13127.6;-0.240422213030196;;1.294.132
2012;Oktober;12669.4;-0.276958192338169;;5.517.011
2012;November;13599.9;-0.202761927069576;;20.365.629
2012;Desember;12427;-0.296286698196425;;170.452.800.000.001
2013;Januari;12721.8;-0.27277991796947;;6.319.639
2013;Februari;12448.1;-0.294604225120479;;190.518.500.000.001
2013;Maret;12096.3;-0.322656074794301;;-371.321.099.999.999
2013;April;12308.8;-0.305711736944139;;-302.041.999.999.992
2013;Mei;13207.1;-0.234083037222723;;14.145.262
2013;Juni;11958.5;-0.333643979527253;;-592.043.799.999.999
2013;Juli;12805.3;-0.266121789920112;;7.724.238
2013;Agustus;10363.2;-0.4608501073972;;-31.403.877
2013;September;12292.1;-0.30704336255401;;-502.698.999.999.993
2013;Oktober;12983.1;-0.251944362768306;;10.533.436
2013;November;13171.7;-0.236905764563409;;13.543.291
2013;Desember;13562.7;-0.205728182919111;;19.763.658
2014;Januari;11970.6;-0.33267914899555;;-571.978.099.999.999
2014;Februari;11904.9;-0.337917939568517;;-6.723.066
2014;Maret;12551.3;-0.286375257279836;;371.109.800.000.001
2014;April;11641.1;-0.35895283992086;;-10.936.863
2014;Mei;12447.9;-0.294620172732573;;190.518.500.000.001
2014;Juni;12623.5;-0.280618169313804;;4.714.383
